Cidade,Estado,ID,Latitude,Longitude,Amazonia,População,População com acesso à água,População sem acesso à água,População com coleta de esgoto,População sem coleta de esgoto,Parcela da população sem acesso à água,Parcela da população com acesso à água,Parcela da população sem coleta de esgoto,Parcela da população com coleta de esgoto,Densidade demográfica,Área do município,Receita direta e indireta total,Parcela das moradias sem banheiro,Incidência de internações por diarreia,Taxa de óbitos por doenças de veiculação hídrica,Consumo per capita de água,Perdas na distribuição,Índice de esgoto tratado referido à água consumida,Tarifa de água,Custo com energia elétrica,Incidência de internações totais por doenças de veiculação hídrica,Moradias sem banheiro
Cruzeiro do Sul,Acre,120020,-7.6362478,-72.6691649,Sim,91888.0,46566.0,45322.0,0.0,91888.0,0.493,0.507,1.0,0.0,10.47,8779.403,5295069.28,0.1996,4.135,0.109,60,0.695,0,2.63,5221845.92,26.445,5337
Rio Branco,Acre,120040,-9.9765362,-67.8220778,Sim,364756.0,195152.0,169604.0,75383.0,289373.0,0.465,0.535,0.793,0.207,41.29,8834.942,49594663.94,0.0413,1.206,0.055,97.57,0.566,0.007,2.94,15725116.3,2.604,5116
Arapiraca,Alagoas,270030,-9.754866,-36.661471,Não,,,,,,,,,,,,,,,,,,,,,,
Barra de Santo Antônio,Alagoas,270050,-9.4038098,-35.5117693,Não,,,,,,,,,,,,,,,,,,,,,,
Barra de São Miguel,Alagoas,270060,-9.8261357,-35.8837777,Não,,,,,,,,,,,,,,,,,,,,,,
Campo Alegre,Alagoas,270140,-9.7798607,-36.3575793,Não,,,,,,,,,,,,,,,,,,,,,,
Coqueiro Seco,Alagoas,270220,-9.637147,-35.799377,Não,,,,,,,,,,,,,,,,,,,,,,
Coruripe,Alagoas,270230,-10.1249963,-36.1760623,Não,,,,,,,,,,,,,,,,,,,,,,
Delmiro Gouveia,Alagoas,270240,-9.3841161,-37.997756,Não,,,,,,,,,,,,,,,,,,,,,,
Maceió,Alagoas,270430,-9.6476843,-35.7339264,Não,,,,,,,,,,,,,,,,,,,,,,
Marechal Deodoro,Alagoas,270470,-9.709715,-35.896731,Não,,,,,,,,,,,,,,,,,,,,,,
Messias,Alagoas,270520,-9.393843,-35.839182,Não,,,,,,,,,,,,,,,,,,,,,,
Palmeira dos Índios,Alagoas,270630,-9.4076249,-36.6323616,Não,,,,,,,,,,,,,,,,,,,,,,
Paripueira,Alagoas,270644,-9.463133,-35.551977,Não,,,,,,,,,,,,,,,,,,,,,,
Penedo,Alagoas,270670,-10.2872341,-36.5819262,Não,,,,,,,,,,,,,,,,,,,,,,
Pilar,Alagoas,270690,-9.6016711,-35.9511275,Não,,,,,,,,,,,,,,,,,,,,,,
Rio Largo,Alagoas,270770,-9.477829,-35.839435,Não,,,,,,,,,,,,,,,,,,,,,,
Santa Luzia do Norte,Alagoas,270790,-9.6037,-35.823196,Não,,,,,,,,,,,,,,,,,,,,,,
São Miguel dos Campos,Alagoas,270860,-9.7831115,-36.0967804,Não,,,,,,,,,,,,,,,,,,,,,,
Satuba,Alagoas,270890,-9.569113,-35.822697,Não,,,,,,,,,,,,,,,,,,,,,,
União dos Palmares,Alagoas,270930,-9.1576807,-36.0342251,Não,,,,,,,,,,,,,,,,,,,,,,
Macapá,Amapá,160030,0.0401529,-51.0569588,Sim,442933.0,240857.0,202076.0,35660.0,407273.0,0.456,0.544,0.919,0.081,68.11,6503.458,58973856.06,0.0229,1.806,0,65.7,0.714,0.222,3.33,7663301.09,2.28,2828
Santana,Amapá,160060,-0.0307068,-51.1789666,Sim,107618.0,48518.0,59100.0,1415.0,106203.0,0.549,0.451,0.987,0.013,69.83,1541.224,9278073.05,0.0368,8.549,0.279,90.82,0.584,0,2.45,2220334.47,9.664,1060
Careiro da Várzea,Amazonas,130115,-3.197024,-59.8259104,Sim,19637.0,549.0,19088.0,0.0,19637.0,0.972,0.028,1.0,0.0,7.47,2627.474,309691.61,0.213,2.037,0,20.93,0.7,0,0.56,95088.35,2.037,1231
Coari,Amazonas,130120,-4.0885957,-63.1431166,Sim,70616.0,11246.0,59370.0,0.0,70616.0,0.841,0.159,1.0,0.0,1.22,57970.768,909202,0.183,12.32,0,15.7,0.111,0,2.35,126250,16.71,3215
Humaitá,Amazonas,130170,-7.5099404,-63.0248674,Sim,57473.0,57195.0,278.0,0.0,57473.0,0.005,0.995,1.0,0.0,1.74,33111.164,2760297.34,0.1383,5.22,0.522,106.1,0.682,0,1.24,1140000,13.92,1994
Iranduba,Amazonas,130185,-3.2758203,-60.1867429,Sim,61163.0,35610.0,25553.0,0.0,61163.0,0.418,0.582,1.0,0.0,27.59,2216.817,1578335.72,0.0632,9.483,0,69.88,0.096,0,3.42,1,10.954,1122
Itacoatiara,Amazonas,130190,-3.1477898,-58.4461041,Sim,103598.0,60856.0,42742.0,0.0,103598.0,0.413,0.587,1.0,0.0,11.65,8891.906,4985641.46,0.0775,6.081,0.193,333,0.245,0,1.49,14890.46,6.371,2143
Manacapuru,Amazonas,130250,-3.2996768,-60.6213528,Sim,101883.0,92000.0,9883.0,0.0,101883.0,0.097,0.903,1.0,0.0,13.89,7336.579,4917433.84,0.0885,20.612,0.196,43.03,0.048,0,2.56,,21.103,2379
Manaus,Amazonas,130260,-3.1316333,-59.9825041,Sim,2063689.0,2053105.0,10584.0,538324.0,1525365.0,0.005,0.995,0.739,0.261,181.01,11401.092,734739921.72,0.0091,6.968,0.126,133.84,0.554,0.218,6.49,75852325.68,8.092,5730
Manicoré,Amazonas,130270,-5.804618,-61.289483,Sim,53914.0,25804.0,28110.0,0.0,53914.0,0.521,0.479,1.0,0.0,1.12,48315.022,722235.35,0.276,13.169,0,204.18,0.193,0,0.12,475737.4,14.653,3359
Maués,Amazonas,130290,-3.3795798,-57.7196072,Sim,61204.0,30249.0,30955.0,12800.0,48404.0,0.506,0.494,0.791,0.209,1.53,39991.067,2506356.01,0.345,27.122,0.654,107,0.469,0,1.61,10450.77,27.613,4579
Novo Airão,Amazonas,130320,-2.6260236,-60.9434406,Sim,15761.0,15761.0,0.0,0.0,15761.0,0.0,1.0,1.0,0.0,0.42,37805.257,792555.8,0.1998,2.538,0,293.56,0.12,0,0.46,288696.88,11.421,832
Parintins,Amazonas,130340,-2.6344567,-56.7319324,Sim,96372.0,96000.0,372.0,0.0,96372.0,0.004,0.996,1.0,0.0,16.18,5956.373,8377623.61,0.1315,8.405,0,102.68,0.713,0,2.23,762438.32,9.028,3143
Presidente Figueiredo,Amazonas,130353,-2.0486359,-60.0236658,Sim,30668.0,17000.0,13668.0,5000.0,25668.0,0.446,0.554,0.837,0.163,1.21,25412.265,1250000,0.0753,3.261,0,160.89,0.142,0,0.72,120000,4.891,707
Rio Preto da Eva,Amazonas,130356,-2.6990647,-59.7012494,Sim,24936.0,21542.0,3394.0,0.0,24936.0,0.136,0.864,1.0,0.0,4.29,5815.622,2011641,0.0731,5.213,0,131.84,0.172,0,1.36,395421,6.015,571
Tabatinga,Amazonas,130406,-4.2327349,-69.9263372,Sim,66764.0,18840.0,47924.0,0.0,66764.0,0.718,0.282,1.0,0.0,20.44,3266.062,456691.2,0.2268,3.295,0,56.99,0.7,0,0.1,96841.43,6.74,3138
Tefé,Amazonas,130420,-3.3485276,-64.7102278,Sim,73669.0,60154.0,13515.0,0.0,73669.0,0.183,0.817,1.0,0.0,3.11,23692.223,1943104.53,0.1787,13.574,0,102.72,0.53,0,0.7,,15.067,3120
Alagoinhas,Bahia,290070,-12.133526,-38.420772,Não,,,,,,,,,,,,,,,,,,,,,,
Araci,Bahia,290210,-11.3390214,-38.9586849,Não,,,,,,,,,,,,,,,,,,,,,,
Barra,Bahia,290270,-11.0891794,-43.1414512,Não,,,,,,,,,,,,,,,,,,,,,,
Barreiras,Bahia,290320,-12.1440031,-44.9967406,Não,,,,,,,,,,,,,,,,,,,,,,
Bom Jesus da Lapa,Bahia,290390,-13.2498754,-43.4101019,Não,,,,,,,,,,,,,,,,,,,,,,
Brumado,Bahia,290460,-14.2025099,-41.6701307,Não,,,,,,,,,,,,,,,,,,,,,,
Caetité,Bahia,290520,-14.0691776,-42.4852428,Não,,,,,,,,,,,,,,,,,,,,,,
Camaçari,Bahia,290570,-12.6998188,-38.3260762,Não,,,,,,,,,,,,,,,,,,,,,,
Campo Formoso,Bahia,290600,-10.51055,-40.320031,Não,,,,,,,,,,,,,,,,,,,,,,
Candeias,Bahia,290650,-12.6693806,-38.5406462,Não,,,,,,,,,,,,,,,,,,,,,,
Casa Nova,Bahia,290720,-9.1736775,-40.9734475,Não,,,,,,,,,,,,,,,,,,,,,,
Catu,Bahia,290750,-12.351274,-38.379108,Não,,,,,,,,,,,,,,,,,,,,,,
Conceição do Coité,Bahia,290840,-11.5629384,-39.2839543,Não,,,,,,,,,,,,,,,,,,,,,,
Cruz das Almas,Bahia,290980,-12.6722649,-39.1053665,Não,,,,,,,,,,,,,,,,,,,,,,
Dias d'Ávila,Bahia,291005,-12.6107233,-38.3028518,Não,,,,,,,,,,,,,,,,,,,,,,
Euclides da Cunha,Bahia,291070,-10.5068008,-39.0165817,Não,,,,,,,,,,,,,,,,,,,,,,
Eunápolis,Bahia,291072,-16.3766148,-39.586449,Não,,,,,,,,,,,,,,,,,,,,,,
Feira de Santana,Bahia,291080,-12.2578934,-38.9598047,Não,,,,,,,,,,,,,,,,,,,,,,
Guanambi,Bahia,291170,-14.223066,-42.779943,Não,,,,,,,,,,,,,,,,,,,,,,
Ilhéus,Bahia,291360,-14.792599,-39.0453843,Não,,,,,,,,,,,,,,,,,,,,,,
Ipirá,Bahia,291400,-12.1578337,-39.7416605,Não,,,,,,,,,,,,,,,,,,,,,,
Irecê,Bahia,291460,-11.3034965,-41.8557929,Não,,,,,,,,,,,,,,,,,,,,,,
Itaberaba,Bahia,291470,-12.524182,-40.305897,Não,,,,,,,,,,,,,,,,,,,,,,
Itabuna,Bahia,291480,-14.793173,-39.2750341,Não,,,,,,,,,,,,,,,,,,,,,,
Itamaraju,Bahia,291560,-17.0340092,-39.5315525,Não,,,,,,,,,,,,,,,,,,,,,,
Itaparica,Bahia,291610,-12.8936023,-38.6798141,Não,,,,,,,,,,,,,,,,,,,,,,
Itapetinga,Bahia,291640,-15.2454478,-40.2460053,Não,,,,,,,,,,,,,,,,,,,,,,
Jacobina,Bahia,291750,-11.1851561,-40.5112434,Não,,,,,,,,,,,,,,,,,,,,,,
Jaguaquara,Bahia,291760,-13.5294974,-39.9693081,Não,,,,,,,,,,,,,,,,,,,,,,
Jequié,Bahia,291800,-13.8604033,-40.0719627,Não,,,,,,,,,,,,,,,,,,,,,,
Juazeiro,Bahia,291840,-9.4336959,-40.5068201,Não,,,,,,,,,,,,,,,,,,,,,,
Lauro de Freitas,Bahia,291920,-12.89242,-38.3127691,Não,,,,,,,,,,,,,,,,,,,,,,
Luís Eduardo Magalhães,Bahia,291955,-12.0869117,-45.7834163,Não,,,,,,,,,,,,,,,,,,,,,,
Madre de Deus,Bahia,291992,-12.7424741,-38.6152913,Não,,,,,,,,,,,,,,,,,,,,,,
Mata de São João,Bahia,292100,-12.530685,-38.300898,Não,,,,,,,,,,,,,,,,,,,,,,
Paulo Afonso,Bahia,292400,-9.3991006,-38.226711,Não,,,,,,,,,,,,,,,,,,,,,,
Pojuca,Bahia,292520,-12.4260268,-38.3266573,Não,,,,,,,,,,,,,,,,,,,,,,
Porto Seguro,Bahia,292530,-16.443473,-39.064251,Não,,,,,,,,,,,,,,,,,,,,,,
Ribeira do Pombal,Bahia,292660,-10.8357496,-38.5368506,Não,,,,,,,,,,,,,,,,,,,,,,
Salvador,Bahia,292740,-12.9822499,-38.4812772,Não,,,,,,,,,,,,,,,,,,,,,,
Santo Amaro,Bahia,292860,-12.5519686,-38.7060448,Não,,,,,,,,,,,,,,,,,,,,,,
Santo Antônio de Jesus,Bahia,292870,-12.9689361,-39.260914,Não,,,,,,,,,,,,,,,,,,,,,,
Santo Estêvão,Bahia,292880,-12.4340621,-39.2556115,Não,,,,,,,,,,,,,,,,,,,,,,
São Francisco do Conde,Bahia,292920,-12.628108,-38.6811326,Não,,,,,,,,,,,,,,,,,,,,,,
São Sebastião do Passé,Bahia,292950,-12.5177926,-38.4921566,Não,,,,,,,,,,,,,,,,,,,,,,
Senhor do Bonfim,Bahia,293010,-10.4602509,-40.189151,Não,,,,,,,,,,,,,,,,,,,,,,
Serrinha,Bahia,293050,-11.66199,-39.0034021,Não,,,,,,,,,,,,,,,,,,,,,,
Simões Filho,Bahia,293070,-12.7867839,-38.4030365,Não,,,,,,,,,,,,,,,,,,,,,,
Teixeira de Freitas,Bahia,293135,-17.5384774,-39.7451701,Não,,,,,,,,,,,,,,,,,,,,,,
Tucano,Bahia,293190,-10.963517,-38.785957,Não,,,,,,,,,,,,,,,,,,,,,,
Valença,Bahia,293290,-13.3723582,-39.0694243,Não,,,,,,,,,,,,,,,,,,,,,,
Vera Cruz,Bahia,293320,-12.9608153,-38.6099216,Não,,,,,,,,,,,,,,,,,,,,,,
Vitória da Conquista,Bahia,293330,-14.8567487,-40.8414804,Não,,,,,,,,,,,,,,,,,,,,,,
Acaraú,Ceará,230020,-2.8869514,-40.1194713,Não,,,,,,,,,,,,,,,,,,,,,,
Acopiara,Ceará,230030,-6.0936464,-39.4543204,Não,,,,,,,,,,,,,,,,,,,,,,
Aquiraz,Ceará,230100,-3.9063117,-38.387504,Não,,,,,,,,,,,,,,,,,,,,,,
Aracati,Ceará,230110,-4.558259,-37.767894,Não,,,,,,,,,,,,,,,,,,,,,,
Barbalha,Ceará,230190,-7.3121067,-39.3036427,Não,,,,,,,,,,,,,,,,,,,,,,
Beberibe,Ceará,230220,-4.1810469,-38.1298101,Não,,,,,,,,,,,,,,,,,,,,,,
Boa Viagem,Ceará,230240,-5.1261877,-39.7300055,Não,,,,,,,,,,,,,,,,,,,,,,
Camocim,Ceará,230260,-2.9009918,-40.8427389,Não,,,,,,,,,,,,,,,,,,,,,,
Canindé,Ceará,230280,-4.3547946,-39.3108516,Não,,,,,,,,,,,,,,,,,,,,,,
Cascavel,Ceará,230350,-4.129666,-38.241178,Não,,,,,,,,,,,,,,,,,,,,,,
Caucaia,Ceará,230370,-3.7300563,-38.6593082,Não,,,,,,,,,,,,,,,,,,,,,,
Chorozinho,Ceará,230395,-4.3010895,-38.4976923,Não,,,,,,,,,,,,,,,,,,,,,,
Crateús,Ceará,230410,-5.1782451,-40.6696545,Não,,,,,,,,,,,,,,,,,,,,,,
Crato,Ceará,230420,-7.2369112,-39.4149236,Não,,,,,,,,,,,,,,,,,,,,,,
Eusébio,Ceará,230428,-3.8889838,-38.4546585,Não,,,,,,,,,,,,,,,,,,,,,,
Fortaleza,Ceará,230440,-3.7304512,-38.5217989,Não,,,,,,,,,,,,,,,,,,,,,,
Granja,Ceará,230470,-3.1212057,-40.8284124,Não,,,,,,,,,,,,,,,,,,,,,,
Guaiúba,Ceará,230495,-4.0412656,-38.6369079,Não,,,,,,,,,,,,,,,,,,,,,,
Horizonte,Ceará,230523,-4.0964618,-38.4965574,Não,,,,,,,,,,,,,,,,,,,,,,
Icó,Ceará,230540,-6.4003992,-38.8575946,Não,,,,,,,,,,,,,,,,,,,,,,
Iguatu,Ceará,230550,-6.361934,-39.2972233,Não,,,,,,,,,,,,,,,,,,,,,,
Itaitinga,Ceará,230625,-3.965768,-38.529763,Não,,,,,,,,,,,,,,,,,,,,,,
Itapajé,Ceará,230630,-3.6841324,-39.5851265,Não,,,,,,,,,,,,,,,,,,,,,,
Itapipoca,Ceará,230640,-3.4960586,-39.5819197,Não,,,,,,,,,,,,,,,,,,,,,,
Juazeiro do Norte,Ceará,230730,-7.2153453,-39.3153336,Não,,,,,,,,,,,,,,,,,,,,,,
Limoeiro do Norte,Ceará,230760,-5.1455607,-38.0984936,Não,,,,,,,,,,,,,,,,,,,,,,
Maracanaú,Ceará,230765,-3.8779438,-38.6247697,Não,,,,,,,,,,,,,,,,,,,,,,
Maranguape,Ceará,230770,-3.8922967,-38.6835427,Não,,,,,,,,,,,,,,,,,,,,,,
Morada Nova,Ceará,230870,-5.1076699,-38.3727852,Não,,,,,,,,,,,,,,,,,,,,,,
Pacajus,Ceará,230960,-4.171073,-38.464988,Não,,,,,,,,,,,,,,,,,,,,,,
Pacatuba,Ceará,230970,-3.9841,-38.6180383,Não,,,,,,,,,,,,,,,,,,,,,,
Pindoretama,Ceará,231085,-4.0265183,-38.3066829,Não,,,,,,,,,,,,,,,,,,,,,,
Quixadá,Ceará,231130,-4.9706021,-39.0158403,Não,,,,,,,,,,,,,,,,,,,,,,
Quixeramobim,Ceará,231140,-5.1983553,-39.2955573,Não,,,,,,,,,,,,,,,,,,,,,,
Russas,Ceará,231180,-4.9354279,-37.9783838,Não,,,,,,,,,,,,,,,,,,,,,,
São Gonçalo do Amarante,Ceará,231240,-3.6099755,-38.9687182,Não,,,,,,,,,,,,,,,,,,,,,,
Sobral,Ceará,231290,-3.6879135,-40.3456372,Não,,,,,,,,,,,,,,,,,,,,,,
Tauá,Ceará,231330,-6.0031372,-40.2947268,Não,,,,,,,,,,,,,,,,,,,,,,
Tianguá,Ceará,231340,-3.7307332,-41.0004019,Não,,,,,,,,,,,,,,,,,,,,,,
Trairi,Ceará,231350,-3.2777494,-39.2680677,Não,,,,,,,,,,,,,,,,,,,,,,
Viçosa do Ceará,Ceará,231410,-3.5667684,-41.091504,Não,,,,,,,,,,,,,,,,,,,,,,
Brasília,Distrito Federal,530010,-15.7939869,-47.8828,Não,,,,,,,,,,,,,,,,,,,,,,
Aracruz,Espírito Santo,320060,-19.8245218,-40.2735025,Não,,,,,,,,,,,,,,,,,,,,,,
Cachoeiro de Itapemirim,Espírito Santo,320120,-20.848084,-41.11129,Não,,,,,,,,,,,,,,,,,,,,,,
Cariacica,Espírito Santo,320130,-20.263202,-40.416549,Não,,,,,,,,,,,,,,,,,,,,,,
Colatina,Espírito Santo,320150,-19.5346732,-40.6287836,Não,,,,,,,,,,,,,,,,,,,,,,
Fundão,Espírito Santo,320220,-19.9532531,-40.3779176,Não,,,,,,,,,,,,,,,,,,,,,,
Guarapari,Espírito Santo,320240,-20.6718755,-40.4984617,Não,,,,,,,,,,,,,,,,,,,,,,
Linhares,Espírito Santo,320320,-19.341076,-39.9483354,Não,,,,,,,,,,,,,,,,,,,,,,
São Mateus,Espírito Santo,320490,-18.7146049,-39.8539499,Não,,,,,,,,,,,,,,,,,,,,,,
Serra,Espírito Santo,320500,-20.1252961,-40.3064477,Não,,,,,,,,,,,,,,,,,,,,,,
Viana,Espírito Santo,320510,-20.3914471,-40.4966587,Não,,,,,,,,,,,,,,,,,,,,,,
Vila Velha,Espírito Santo,320520,-20.3297037,-40.2920174,Não,,,,,,,,,,,,,,,,,,,,,,
Vitória,Espírito Santo,320530,-20.3200917,-40.3376682,Não,,,,,,,,,,,,,,,,,,,,,,
Abadia de Goiás,Goiás,520005,-16.7584,-49.4383,Não,,,,,,,,,,,,,,,,,,,,,,
Águas Lindas de Goiás,Goiás,520025,-15.7392283,-48.2793357,Não,,,,,,,,,,,,,,,,,,,,,,
Anápolis,Goiás,520110,-16.3332828,-48.9525756,Não,,,,,,,,,,,,,,,,,,,,,,
Aparecida de Goiânia,Goiás,520140,-16.8226769,-49.2452546,Não,,,,,,,,,,,,,,,,,,,,,,
Aragoiânia,Goiás,520180,-16.9146388,-49.4499148,Não,,,,,,,,,,,,,,,,,,,,,,
Bela Vista de Goiás,Goiás,520330,-16.9692949,-48.9513071,Não,,,,,,,,,,,,,,,,,,,,,,
Bonfinópolis,Goiás,520355,-16.6172709,-48.9615701,Não,,,,,,,,,,,,,,,,,,,,,,
Brazabrantes,Goiás,520360,-16.4291635,-49.3858216,Não,,,,,,,,,,,,,,,,,,,,,,
Caldas Novas,Goiás,520450,-17.745,-48.625,Não,,,,,,,,,,,,,,,,,,,,,,
Caldazinha,Goiás,520455,-16.7116649,-49.0012601,Não,,,,,,,,,,,,,,,,,,,,,,
Catalão,Goiás,520510,-18.1702546,-47.9447082,Não,,,,,,,,,,,,,,,,,,,,,,
Caturaí,Goiás,520520,-16.4473559,-49.4919149,Não,,,,,,,,,,,,,,,,,,,,,,
Cidade Ocidental,Goiás,520549,-16.1000758,-47.9445014,Não,,,,,,,,,,,,,,,,,,,,,,
Cristalina,Goiás,520620,-16.7680599,-47.6133427,Não,,,,,,,,,,,,,,,,,,,,,,
Formosa,Goiás,520800,-15.5492443,-47.3301212,Não,,,,,,,,,,,,,,,,,,,,,,
Goianápolis,Goiás,520840,-16.5071038,-49.0213217,Não,,,,,,,,,,,,,,,,,,,,,,
Goianésia,Goiás,520860,-15.3118269,-49.1162001,Não,,,,,,,,,,,,,,,,,,,,,,
Goiânia,Goiás,520870,-16.680882,-49.2532691,Não,,,,,,,,,,,,,,,,,,,,,,
Goianira,Goiás,520880,-16.5001973,-49.4254788,Não,,,,,,,,,,,,,,,,,,,,,,
Guapó,Goiás,520920,-16.8308602,-49.5343721,Não,,,,,,,,,,,,,,,,,,,,,,
Hidrolândia,Goiás,520970,-16.9671342,-49.22826,Não,,,,,,,,,,,,,,,,,,,,,,
Inhumas,Goiás,521000,-16.3610569,-49.500111,Não,,,,,,,,,,,,,,,,,,,,,,
Itumbiara,Goiás,521150,-18.4135862,-49.2172596,Não,,,,,,,,,,,,,,,,,,,,,,
Jataí,Goiás,521190,-17.8856178,-51.7202967,Não,,,,,,,,,,,,,,,,,,,,,,
Luziânia,Goiás,521250,-16.2535456,-47.9500276,Não,,,,,,,,,,,,,,,,,,,,,,
Mineiros,Goiás,521310,-17.5653879,-52.5536721,Não,,,,,,,,,,,,,,,,,,,,,,
Nerópolis,Goiás,521450,-16.4069816,-49.219438,Não,,,,,,,,,,,,,,,,,,,,,,
Nova Veneza,Goiás,521500,-16.3709074,-49.3212061,Não,,,,,,,,,,,,,,,,,,,,,,
Novo Gama,Goiás,521523,-16.0496528,-48.0304615,Não,,,,,,,,,,,,,,,,,,,,,,
Planaltina,Goiás,521760,-15.4571536,-47.6089024,Não,,,,,,,,,,,,,,,,,,,,,,
